Transaction Number,Transaction Date,Property ID,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Floor,Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-1570-2010","2006-11-22 00:00:00","310601","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","2489008","","162.3","2 B/R","2","B-272","Mina Seyahi","Marina Mall","Burj Al Arab","1","1","","EMERALD PALACE KEMPINSKI"
"102-1659-2010","2006-06-14 00:00:00","7836972","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Fourth","Unit","Flat","393055","","47.15","Studio","2","B3-31","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","CANAL RESIDENCE WEST (PHASE 1)"
"102-1680-2010","2006-05-29 00:00:00","6540574","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","2590000","","159.53","2 B/R","6","B1-58","Palm Jumeirah","Marina Mall","Burj Al Arab","2","1","","FAIRMONT PALM RESIDENCE"
"102-1703-2010","2006-08-17 00:00:00","17969495","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Shop","1667500","","121.63","NA","G","DMCC-1252","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","3","1","","DUBAI STAR"
"102-1778-2010","2006-10-17 00:00:00","270820","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","704665.92","","81.29","1 B/R","11","3B15","Marina Towers","Marina Mall","Burj Al Arab","1","1","","MAG218"
"102-1799-2010","2006-02-18 00:00:00","6117644","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1192000","","109.9","1 B/R","6","B2-051","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","2","1","","TRIDENT GRAND"
"102-1865-2010","2006-02-14 00:00:00","271258","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1406280.54","","148.27","2 B/R","55","2P42","Marina Towers","Marina Mall","Burj Al Arab","1","1","","MAG218"
"102-1887-2010","2006-05-31 00:00:00","13719911","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","990000","","121.39","1 B/R","2","Building 3-B3-44","Palm Jumeirah","Marina Mall","Burj Al Arab","2","1","","GOLDEN MILE"
"102-1956-2010","2006-03-05 00:00:00","16461444","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","570000","","59.01","Studio","9","DMCC-0021","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","LAGUNA TOWER"
"102-1960-2010","2006-02-14 00:00:00","271187","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","686748.29","","84.36","1 B/R","48","1P42","Marina Towers","Marina Mall","Burj Al Arab","1","1","","MAG218"
"102-1975-2010","2006-03-22 00:00:00","8270388","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","2230980","","112.25","1 B/R","2","B-78","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","GRANDEUR RESIDENCES"
"102-2024-2010","2006-04-10 00:00:00","16895991","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","2897500","","309.07","3 B/R","2","Building 9- B3-73, 74","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-2043-2010","2006-02-14 00:00:00","271227","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","796811.96","","84.36","1 B/R","52","1P63","Marina Towers","Marina Mall","Burj Al Arab","1","1","","MAG218"
"102-2046-2010","2006-07-01 00:00:00","6118130","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1849000","","154.8","2 B/R","32","B2-080","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","2","1","","TRIDENT GRAND"
"102-2092-2010","2006-10-10 00:00:00","16897338","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","4132500","","412.41","PENTHOUSE","7","Building 7- B3-71, 72","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","GOLDEN MILE"
"102-2169-2010","2006-01-30 00:00:00","6118181","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1930000","","148.81","2 B/R","34","B2-075","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","2","1","","TRIDENT GRAND"
"102-2211-2010","2006-12-12 00:00:00","270881","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","725737.25","","78.41","1 B/R","17","2B67","Marina Towers","Marina Mall","Burj Al Arab","1","1","","MAG218"
"102-2273-2010","2006-12-12 00:00:00","270969","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1190210.99","","163.52","2 B/R","26","1B16","Marina Towers","Marina Mall","Burj Al Arab","1","1","","MAG218"
"102-266-2011","2006-05-07 00:00:00","4704223","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1010966","","113.25","2 B/R","7","B4-66","Mina Seyahi","Marina Mall","Burj Al Arab","1","1","","MARINA PINNACLE"
"102-6200-2009","2006-12-21 00:00:00","287685","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Flat","1117057.5","","91.23","2 B/R","21","B1-147","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","ONTARIO TOWER"
"102-6208-2009","2006-06-01 00:00:00","315781","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","303000","","31.52","Studio","15","B2-32","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","GOLD CREST VIEWS2"
"102-6270-2009","2006-12-21 00:00:00","287681","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Business Bay","Unit","Flat","929214","","74.51","1 B/R","20","B1-148","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","ONTARIO TOWER"
"102-6314-2009","2006-01-21 00:00:00","265956","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","2547100","","155.8","2 B/R","5","2308","Knowledge Village","Marina Mall","Burj Al Arab","2","1","","TIARA RESIDENCE"
"102-6325-2009","2006-10-19 00:00:00","17969315","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","370000","","36.04","Studio","39","DMCC-0074","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","","DUBAI STAR"
"102-6363-2009","2006-12-17 00:00:00","310633","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","5518000","","352.1","3 B/R","3","B-245","Mina Seyahi","Marina Mall","Burj Al Arab","1","1","","EMERALD PALACE KEMPINSKI"
"102-6379-2009","2006-03-12 00:00:00","255277","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","642090.75","","72.93","1 B/R","28","DMCC L4-4266","Damac Properties","Marina Mall","Burj Al Arab","2","1","","LAKE SHORE TOWER"
"102-6392-2009","2006-10-03 00:00:00","16895506","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","1750000","","167.17","2 B/R","3","Building 8- B3-31","Palm Jumeirah","Marina Mall","Burj Al Arab","2","1","","GOLDEN MILE"
"102-6452-2009","2006-05-27 00:00:00","10252781","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1818180","","141.71","2 B/R","9","B4-084","Marina Towers","Marina Mall","Burj Al Arab","1","1","","CAYAN TOWER"
"102-6469-2009","2006-12-28 00:00:00","255237","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Thanyah Fifth","Unit","Flat","632199.75","","72.93","1 B/R","24","DMCC L3-3291","Damac Properties","Marina Mall","Burj Al Arab","1","1","","LAKE SHORE TOWER"
"102-6508-2009","2006-01-21 00:00:00","265855","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Palm Jumeirah","Unit","Flat","2791600","","155.8","2 B/R","3","1411","Knowledge Village","Marina Mall","Burj Al Arab","1","1","","TIARA RESIDENCE"
"102-6573-2009","2006-12-27 00:00:00","5538058","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","1482635","","64.36","1 B/R","16","B4-143","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","BAY CENTRAL WEST & CENTRAL TOWERS"
"11-1-2006","2006-01-02 00:00:00","89659","Sales","Sale","Ready","Non Free Hold","Residential","Port Saeed","Land","Residential","1610000","193.15","193.15","","","","Al Rigga Metro Station","Dubai Mall","Dubai International Airport","2","6","",""
"11-10-2006","2006-01-03 00:00:00","28422","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","1665000","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-100-2006","2006-01-25 00:00:00","74899","Sales","Sale","Ready","Non Free Hold","Residential","Al Waheda","Land","Residential","1900000","929.03","929.03","","","","Abu Hail Metro Station","","Dubai International Airport","1","1","",""
"11-1000-2006","2006-06-17 00:00:00","93387","Sales","Sale","Ready","Non Free Hold","Commercial","Al Nahda First","Land","Commercial","26231850","2867.08","2867.08","","","","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","2","1","",""
"11-1001-2006","2006-06-17 00:00:00","65879","Sales","Sale","Ready","Non Free Hold","Residential","Al Qusais Second","Land","Residential","3000000","1322.75","1322.75","","","","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1002-2006","2006-06-17 00:00:00","109844","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2000000","1025.65","1025.65","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-1003-2006","2006-06-17 00:00:00","40598","Sales","Sale","Ready","Non Free Hold","Residential","Abu Hail","Land","Residential","1200000","220.46","220.46","","","","Abu Baker Al Siddique Metro Station","","Dubai International Airport","1","1","",""
"11-1004-2006","2006-06-17 00:00:00","87668","Sales","Sale","Ready","Non Free Hold","Commercial","Al Nahda Second","Land","Commercial","8100000","1393.55","1393.55","","","","Al Nahda Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1005-2006","2006-06-17 00:00:00","58604","Sales","Sale","Ready","Non Free Hold","Residential","Al Rashidiya","Land","Residential","1450000","594.58","594.58","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1006-2006","2006-06-17 00:00:00","87435","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2050000","933.27","933.27","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","",""
"11-1007-2006","2006-06-17 00:00:00","94629","Sales","Sale","Ready","Non Free Hold","Commercial","Muhaisanah Fourth","Land","Commercial","14100000","2774.36","2774.36","","","","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1008-2006","2006-06-17 00:00:00","16967","Sales","Sale","Ready","Non Free Hold","Residential","Nad Al Hamar","Land","Residential","1470000","929.03","929.03","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1009-2006","2006-06-17 00:00:00","94627","Sales","Sale","Ready","Non Free Hold","Commercial","Muhaisanah Fourth","Land","Commercial","14300000","2633.8","2633.8","","","","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","3","1","",""
"11-101-2006","2006-01-25 00:00:00","90975","Sales","Sale","Ready","Non Free Hold","Commercial","Al Barsha First","Land","Commercial","10798200","1114.65","1114.65","","","","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","2","2","",""
"11-1010-2006","2006-06-18 00:00:00","51462","Sales","Sale","Ready","Non Free Hold","Residential","Al Warqa Third","Land","Residential","4300000","1225.58","1225.58","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1011-2006","2006-06-18 00:00:00","86687","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2050000","933","933","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","",""
"11-1012-2006","2006-06-18 00:00:00","86480","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2100000","1001.79","1125.54","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","",""
"11-1013-2006","2006-06-18 00:00:00","124733","Sales","Sale","Ready","Non Free Hold","Commercial","Al Thanyah Third","Land","Commercial","28220500","3745.42","3745.42","","","","","","","1","1","",""
"11-1014-2006","2006-06-18 00:00:00","11858294","Sales","Sale","Ready","Non Free Hold","Residential","Al Ruwayyah","Land","Agricultural","9342864","48221.12","48221.12","","","","","","","2","5","",""
"11-1015-2006","2006-06-18 00:00:00","86688","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2000000","817.66","817.66","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-1016-2006","2006-06-18 00:00:00","56268","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha Third","Land","Residential","3030000","1393.55","1393.55","","","","Dubai Internet City","Mall of the Emirates","Burj Al Arab","1","1","",""
"11-1017-2006","2006-06-18 00:00:00","78490","Sales","Sale","Ready","Non Free Hold","Commercial","Al Murqabat","Land","Commercial","400000","149.3","149.3","","","","Salah Al Din Metro Station","Dubai Mall","Dubai International Airport","1","1","",""
"11-1018-2006","2006-06-18 00:00:00","55007","Sales","Sale","Ready","Non Free Hold","Commercial","Al Warqa First","Land","Commercial","13000000","2787.09","1393.55","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1019-2006","2006-06-18 00:00:00","93371","Sales","Sale","Ready","Non Free Hold","Commercial","Al Mamzer","Land","Commercial","14037400","2006.33","2006.33","","","","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-102-2006","2006-01-25 00:00:00","28461","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","3900000","1393.55","1393.55","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1020-2006","2006-06-18 00:00:00","86217","Sales","Sale","Ready","Non Free Hold","Residential","Al Waheda","Land","Residential","1500000","232.44","232.44","","","","Abu Hail Metro Station","","Dubai International Airport","1","1","",""
"11-1021-2006","2006-06-18 00:00:00","124733","Sales","Sale","Ready","Non Free Hold","Commercial","Al Thanyah Third","Land","Commercial","33380959","3745.42","3745.42","","","","","","","1","1","",""
"11-1022-2006","2006-06-19 00:00:00","87425","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","1950000","931.58","931.58","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-1023-2006","2006-06-19 00:00:00","87020","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2100000","987.68","987.68","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-1024-2006","2006-06-19 00:00:00","87280","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2000000","1026.44","1026.44","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-1025-2006","2006-06-19 00:00:00","77244","Sales","Sale","Ready","Non Free Hold","Residential","Al Rashidiya","Land","Residential","1200000","929.03","929.03","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","2","1","",""
"11-1026-2006","2006-06-19 00:00:00","90039","Sales","Sale","Ready","Non Free Hold","Commercial","Al Barsha First","Land","Commercial","12600000","1170.58","1170.58","","","","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","1","2","",""
"11-1027-2006","2006-06-19 00:00:00","87388","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2100000","956.3","956.3","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","",""
"11-1028-2006","2006-06-19 00:00:00","86839","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2100000","999.83","999.83","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","",""
"11-1029-2006","2006-06-19 00:00:00","87389","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2520000","1001.76","1001.76","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","",""
"11-103-2006","2006-01-25 00:00:00","90321","Sales","Sale","Ready","Non Free Hold","Residential","Al Qusais First","Land","Residential","10229550","2022.03","2022.03","","","","Airport Free Zone","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1030-2006","2006-06-19 00:00:00","62315","Sales","Sale","Ready","Non Free Hold","Residential","Al Saffa First","Land","Residential","6500000","1393.55","1393.55","","","","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","1","2","",""
"11-1031-2006","2006-06-19 00:00:00","29736","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","5000000","966.19","966.19","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1032-2006","2006-06-19 00:00:00","81461","Sales","Sale","Ready","Non Free Hold","Residential","Hor Al Anz","Land","Residential","1900000","232.26","232.26","","","","Abu Hail Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1033-2006","2006-06-19 00:00:00","34695","Sales","Sale","Ready","Non Free Hold","Commercial","Al Dhagaya","Land","Commercial","3220000","128.02","128.02","","","","Palm Deira Metro Stations","Dubai Mall","Dubai International Airport","1","1","",""
"11-1034-2006","2006-06-19 00:00:00","64803","Sales","Sale","Ready","Non Free Hold","Residential","Al Saffa First","Land","Residential","5500000","1393.55","1393.55","","","","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","1","2","",""
"11-1035-2006","2006-06-19 00:00:00","66251","Sales","Sale","Ready","Non Free Hold","Residential","Al Waheda","Land","Residential","1390000","278.71","278.71","","","","Abu Hail Metro Station","","Dubai International Airport","1","1","",""
"11-1036-2006","2006-06-19 00:00:00","29871","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","3015000","696.77","696.77","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","3","",""
"11-1037-2006","2006-06-19 00:00:00","94309","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2100000","956.37","956.37","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-1038-2006","2006-06-19 00:00:00","78267","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha Third","Land","Residential","2775000","1393.55","1393.55","","","","Dubai Internet City","Mall of the Emirates","Burj Al Arab","1","1","",""
"11-1039-2006","2006-06-20 00:00:00","95354","Sales","Sale","Ready","Free Hold","Commercial","Um Hurair Second","Land","Commercial","8310900","2573.69","2573.69","","","","Healthcare City Metro Station","Dubai Mall","Dubai International Airport","2","1","",""
"11-104-2006","2006-01-28 00:00:00","68887","Sales","Sale","Ready","Non Free Hold","Residential","Al Satwa","Land","Residential","1500000","230.03","230.03","","","","","","","1","1","",""
"11-1040-2006","2006-06-20 00:00:00","94642","Sales","Sale","Ready","Non Free Hold","Commercial","Muhaisanah Fourth","Land","Commercial","7800000","1932.38","1932.38","","","","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1041-2006","2006-06-20 00:00:00","87349","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2100000","955.92","955.92","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-1042-2006","2006-06-20 00:00:00","73850","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha Second","Land","Residential","3150000","1393.55","1393.55","","","","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","2","2","",""
"11-1043-2006","2006-06-20 00:00:00","77569","Sales","Sale","Ready","Non Free Hold","Commercial","Naif","Land","Commercial","20303750","1525.28","431.35","","","","Baniyas Square Metro Station","Dubai Mall","Dubai International Airport","1","1","",""
"11-1044-2006","2006-06-20 00:00:00","76305","Sales","Sale","Ready","Non Free Hold","Commercial","Al Nahda Second","Land","Commercial","43500000","1858.06","1858.06","","","","STADIUM Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1045-2006","2006-06-20 00:00:00","86977","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2000000","988.18","1124.73","","","","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-1046-2006","2006-06-20 00:00:00","86652","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2100000","987","987","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","",""
"11-1047-2006","2006-06-20 00:00:00","86965","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2000000","1025.76","1025.76","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-1048-2006","2006-06-20 00:00:00","94628","Sales","Sale","Ready","Non Free Hold","Commercial","Muhaisanah Fourth","Land","Commercial","10100000","1932.38","1932.38","","","","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1049-2006","2006-06-20 00:00:00","76317","Sales","Sale","Ready","Non Free Hold","Residential","Al Barsha Third","Land","Residential","2895000","1393.55","1393.55","","","","Dubai Internet City","Mall of the Emirates","Burj Al Arab","2","1","",""
"11-105-2006","2006-01-28 00:00:00","91859","Sales","Sale","Ready","Non Free Hold","Commercial","Al Barsha First","Land","Commercial","9777102","4091.54","4091.54","","","","Sharaf Dg Metro Station","Mall of the Emirates","Burj Al Arab","1","1","",""
"11-1050-2006","2006-06-21 00:00:00","94635","Sales","Sale","Ready","Non Free Hold","Commercial","Muhaisanah Fourth","Land","Commercial","8700000","1928.67","2750.49","","","","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1051-2006","2006-06-21 00:00:00","86655","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2400000","1302.82","1466.4","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-1052-2006","2006-06-21 00:00:00","86963","Sales","Sale","Ready","Free Hold","Commercial","Al Thanyah Fifth","Land","Commercial","2000000","988.03","988.03","","","","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","1","",""
"11-1053-2006","2006-06-21 00:00:00","28910","Sales","Sale","Ready","Non Free Hold","Residential","Mirdif","Land","Residential","3600000","1359.17","1359.17","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
"11-1054-2006","2006-06-21 00:00:00","61698","Sales","Sale","Ready","Non Free Hold","Residential","Al Saffa Second","Land","Residential","4800000","1393.55","929.03","","","","Noor Bank Metro Station","Mall of the Emirates","Burj Al Arab","1","4","",""
"11-1055-2006","2006-06-21 00:00:00","93154","Sales","Sale","Ready","Non Free Hold","Commercial","Mirdif","Land","Commercial","11716790","2941.96","2941.96","","","","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","1","2","",""
"11-1056-2006","2006-06-21 00:00:00","94633","Sales","Sale","Ready","Non Free Hold","Commercial","Muhaisanah Fourth","Land","Commercial","8800000","1885.47","1885.47","","","","Al Qusais Metro Station","City Centre Mirdif","Dubai International Airport","1","1","",""
